Date,Population,Sunshine (Hours),Rainfall (mm),Temperature (C),Humidity (%),Electricity Generation (GWh)
2018-01-01,95385200.0,96.85333333333332,43.15714285714286,20.166666666666668,82.6,16300.0
2018-02-01,95476766.67,136.45333333333332,24.35384615384616,19.58,77.13333333333334,12800.0
2018-03-01,95568333.33,177.55999999999997,36.9,22.933333333333334,80.2,17100.0
2018-04-01,95659900.0,185.92,92.43333333333334,24.646666666666665,80.53333333333333,17095.688
2018-05-01,95751466.67,235.44,144.22,27.46,80.26666666666667,18104.312
2018-06-01,95843033.33,154.13333333333335,219.60666666666663,27.7,79.86666666666666,18300.0
2018-07-01,95934600.0,153.7466666666667,346.42,27.46,81.66666666666667,19332.8479579
2018-08-01,96026166.67,144.79333333333332,252.84666666666664,27.23333333333333,82.0,18739.608
2018-09-01,96117733.33,181.60666666666663,240.57333333333327,26.75333333333333,81.93333333333334,17920.0063
2018-10-01,96209300.0,188.22,186.84666666666664,25.1,80.46666666666667,18047.2975105
2018-11-01,96300866.67,166.32666666666668,186.63333333333333,23.73333333333333,81.6,17600.263
2018-12-01,96392433.33,118.64,241.42666666666668,21.68,83.2,17946.52970396
2019-01-01,96484000.0,122.03333333333332,104.75,20.23333333333333,82.26666666666667,17618.01
2019-02-01,96575557.5,188.80666666666667,14.5,23.046666666666667,79.26666666666667,13869.488
2019-03-01,96667115.0,172.91333333333333,32.99230769230769,24.05333333333333,81.0,18773.49
2019-04-01,96758672.5,210.4933333333333,92.21666666666664,27.006666666666668,79.06666666666666,19307.266
2019-05-01,96850230.0,202.5333333333333,153.07999999999998,27.68,79.8,20004.45
2019-06-01,96941787.5,206.30000000000004,199.25714285714284,28.946666666666665,77.66666666666667,20382.205
2019-07-01,97033345.0,178.58,171.09333333333333,28.28,79.0,21399.91826978
2019-08-01,97124902.5,175.2,265.9733333333333,27.71333333333333,80.93333333333334,20527.17273022
2019-09-01,97216460.0,170.4466666666667,284.74,26.53333333333333,80.33333333333333,19431.876
2019-10-01,97308017.5,184.28,300.76666666666665,25.386666666666667,82.0,19200.378
2019-11-01,97399575.0,147.08666666666667,163.66666666666666,23.15333333333333,81.26666666666667,18396.908
2019-12-01,97491132.5,171.72666666666663,33.554545454545455,20.51333333333333,77.4,18510.09
2020-01-01,97582690.0,164.38000000000002,56.39166666666667,21.53333333333333,80.26666666666667,16579.636
2020-02-01,97659499.17,158.94666666666666,25.23846153846154,21.55333333333333,78.66666666666667,17354.353
2020-03-01,97736308.33,182.02,60.7,24.55333333333333,80.46666666666667,19911.17716
2020-04-01,97813117.5,155.4,116.97142857142858,24.38,80.6,17527.008
2020-05-01,97889926.67,241.98666666666665,103.46,28.40666666666667,78.53333333333333,20231.71
2020-06-01,97966735.83,218.48666666666668,140.23333333333332,28.826666666666664,77.53333333333333,21346.76394
2020-07-01,98043545.0,230.69333333333333,145.84,28.41333333333333,79.06666666666666,22205.15
2020-08-01,98120354.17,175.18,310.6333333333333,27.613333333333333,82.33333333333333,20900.62398689
2020-09-01,98197163.33,173.83333333333334,283.4,27.41333333333333,82.66666666666667,20710.37001311
2020-10-01,98273972.5,105.20666666666668,612.2733333333333,24.53333333333333,83.86666666666666,19678.07
2020-11-01,98350781.67,138.62,190.72,23.59333333333333,80.93333333333334,18932.688
2020-12-01,98427590.83,97.34666666666666,90.18571428571428,20.433333333333334,79.6,19112.934
2021-01-01,98504400.0,119.76666666666668,25.984615384615385,18.486666666666668,77.06666666666666,19171.1639226
2021-02-01,98585235.0,166.39333333333337,46.975,21.12,79.13333333333334,15119.219
2021-03-01,98666070.0,169.8733333333333,31.79230769230769,23.65333333333333,80.66666666666667,21309.07
2021-04-01,98746905.0,174.08,123.65333333333334,25.68,82.33333333333333,21229.0440612
2021-05-01,98827740.0,242.68666666666667,134.86666666666667,27.96,79.66666666666667,22924.53738182
2021-06-01,98908575.0,203.52000000000004,171.10666666666663,28.55333333333333,77.06666666666666,22930.38554
2021-07-01,98989410.0,199.94666666666663,222.16,28.026666666666664,79.2,22289.2841107
2021-08-01,99070245.0,209.34000000000003,216.47333333333333,28.09333333333333,78.93333333333334,20830.8189
2021-09-01,99151080.0,163.38000000000002,374.2533333333333,26.473333333333336,84.4,18495.5965
2021-10-01,99231915.0,114.09333333333332,450.58,24.506666666666668,84.6,19902.122
2021-11-01,99312750.0,102.63333333333334,268.26666666666665,22.71333333333333,82.53333333333333,19968.1324
2021-12-01,99393585.0,128.60666666666663,109.2,20.326666666666664,79.2,20607.477
